BOF;REPOSITORY;1.0
TABLE;calculations
COMMENT;ID;NAME;CIE_SYNTAX;DEPRECATED
T;31;((current TOTAL_RETURN_GROSS_SEK/previous TOTAL_RETURN_GROSS_SEK)-1)*100;logic:((TOTAL_RETURN_GROSS_SEK / TOTAL_RETURN_GROSS_SEK(-1D)) - 1) * 100:int;0
T;32;((current TOTAL_RETURN_NET/previous TOTAL_RETURN_NET)-1)*100;logic:((TOTAL_RETURN_NET / TOTAL_RETURN_NET(-1D)) - 1) * 100:int;0
T;33;((current TOTAL_RETURN_NET_CHF/previous TOTAL_RETURN_NET_CHF)-1)*100;logic:((TOTAL_RETURN_NET_CHF / TOTAL_RETURN_NET_CHF(-1D)) - 1) * 100:int;0
T;34;((current TOTAL_RETURN_NET_DKK/previous TOTAL_RETURN_NET_DKK)-1)*100;logic:((TOTAL_RETURN_NET_DKK / TOTAL_RETURN_NET_DKK(-1D)) - 1) * 100:int;0
T;35;((current TOTAL_RETURN_NET_EUR/previous TOTAL_RETURN_NET_EUR)-1)*100;logic:((TOTAL_RETURN_NET_EUR / TOTAL_RETURN_NET_EUR(-1D)) - 1) * 100:int;0
T;36;((current TOTAL_RETURN_NET_GBP/previous TOTAL_RETURN_NET_GBP)-1)*100;logic:((TOTAL_RETURN_NET_GBP / TOTAL_RETURN_NET_GBP(-1D)) - 1) * 100:int;0
T;37;((current TOTAL_RETURN_NET_JPY/previous TOTAL_RETURN_NET_JPY)-1)*100;logic:((TOTAL_RETURN_NET_JPY / TOTAL_RETURN_NET_JPY(-1D)) - 1) * 100:int;0
T;38;((current TOTAL_RETURN_NET_NOK/previous TOTAL_RETURN_NET_NOK)-1)*100;logic:((TOTAL_RETURN_NET_NOK / TOTAL_RETURN_NET_NOK(-1D)) - 1) * 100:int;0
T;39;((current TOTAL_RETURN_NET_SEK/previous TOTAL_RETURN_NET_SEK)-1)*100;logic:((TOTAL_RETURN_NET_SEK / TOTAL_RETURN_NET_SEK(-1D)) - 1) * 100:int;0
T;40;((current TOTAL_RETURN_NET_USD/previous TOTAL_RETURN_NET_USD)-1)*100;logic:((TOTAL_RETURN_NET_USD / TOTAL_RETURN_NET_USD(-1D)) - 1) * 100:int;0
T;41;((MCAP/SUM OF MCAP)*100);;1
T;42;((PA_PRICE(t)/PA_PRICE(t-1))-1)*100;logic:((PA_PRICE / PA_PRICE(-1D)) - 1) * 100:int;0
T;43;((PA_PRICE(t)/PA_PRICE(t-1))-1)*WEIGHT(t-1);;0
T;44;((PA_PRICE(t)+ZAV(PA_DIVS(t)))*((SHARES_UNADJ(t-1)/SHARES_UNADJ(t))/CSPLIT(t)))-(PA_PRICE(t)-ZAV(PA_DIVS(t)));logic:((PA_PRICE + ZAV(PA_DIVS)) * ((SHARES_UNADJ(-1D) / SHARES_UNADJ) / CSPLIT)) - (PA_PRICE - ZAV(PA_DIVS)):int;0
T;45;((PA_PRICE(t)+ZAV(PA_DIVS(t)))*((SHARES_UNADJ(t-1)/SHARES_UNADJ(t))/SPLIT_FACTOR(t)))-(PA_PRICE(t)-ZAV(PA_DIVS(t))) £pv£ If new security, use the calculation: 2*ZAV(PA_DIVS(t));logic:is_new_security():int;0
T;46;((PRICE(t)/(PRICE(t-1)-DIVS(t)))-1)*100;logic:((PRICE/(PRICE(-1D) - DIVS)) - 1) * 100:int;0
T;47;((PRICE(t)/PRICE(t-1)-DIVS (t)))-1)*100;;1
T;48;((PRICE(t)+ZAV(DIVS(t)))*((SHARES_UNADJ(t-1)/SHARES_UNADJ(t))/CSPLIT(t)))-(PRICE(t)-ZAV(DIVS(t)));logic:((PRICE + ZAV(DIVS)) * ((SHARES_UNADJ(-1D) / SHARES_UNADJ) / CSPLIT)) - (PRICE - ZAV(DIVS)):int;0
T;49;((PRICE(t)+ZAV(DIVS(t)))*((SHARES_UNADJ(t-1)/SHARES_UNADJ(t))/SPLIT_FACTOR(t)))-(PRICE(t)-ZAV(DIVS(t)));passthrough:((PRICE + avail(DIVS, 0)) * ((SHARES_UNADJ(-1D) / SHARES_UNADJ) / SPLIT_FACTOR)) - (PRICE - avail(DIVS, 0)):int;0
T;50;((PRICE(t)+ZAV(DIVS(t)))*((SHARES_UNADJ(t-1)/SHARES_UNADJ(t))/SPLIT_FACTOR(t)))-(PRICE(t)-ZAV(DIVS(t))) £pv£ If new security, use the calculation: 2*ZAV(DIVS(t));;0
T;51;((PRICE/previous day PRICE)-1)*100;logic:((PRICE / PRICE(-1D)) - 1) * 100:int;0
T;52;((PRICE_DIRTY*AMOUNT)/100)/MCAP;passthrough:(PRICE_DIRTY * AMOUNT / 100) / MCAP:int;0
T;53;((PRICE_DIRTY/(TRET_CHG_1D_GROSS+1))-ACCRUED;passthrough:(PRICE_DIRTY / (TRET_CHG_1D_GROSS + 1)) - ACCRUED:int;0
T;54;((PRICE_EUR/previous day PRICE_EUR)-1)*100;logic:((PRICE_EUR / PRICE_EUR(-1D)) - 1) * 100:int;0
T;55;((PRICE_GBP/previous day PRICE_GBP)-1)*100;logic:((PRICE_GBP / PRICE_GBP(-1D)) - 1) * 100:int;0
T;56;((PRICE_JPY/previous day PRICE_JPY)-1)*100;logic:((PRICE_JPY / PRICE_JPY(-1D)) - 1) * 100:int;0
T;57;((PRICE_SGD*ACCRUED)*AMOUNT_SGD/100)/1000000;passthrough:((PRICE_SGD * ACCRUED) * AMOUNT_SGD / 100) / 1000000:int;0
T;58;((PRICE_USD(t)/(PRICE_USD(t-1)-DIVS_USD(t)))-1)*100;logic:((PRICE_USD/(PRICE_USD(-1D) - DIVS_USD)) - 1) * 100:int;0
T;59;((PRICE_USD(t)/PRICE_USD(t-1)-DIVS_USD(t)))-1)*100;logic:((PRICE_USD / PRICE_USD(-1D)) - DIVS_USD - 1) * 100:int;0
T;60;((PRICE_USD/previous day PRICE_USD)-1)*100;logic:((PRICE_USD / PRICE_USD(-1D)) - 1) * 100:int;0
T;61;((PRICE+ACCRUED)*AMOUNT/100)/1000000;passthrough:((PRICE + ACCRUED) * AMOUNT / 100) / 1000000:int;0
T;62;((SHARES_ISSUED/OFACTOR)*PRICE_LOC)/XRATE_LOC_TO_USD;passthrough:((SHARES_ISSUED / OFACTOR) * PRICE_LOC) / XRATE_LOC_TO_USD:int;0
T;63;((TOTAL_RETURN_GROSS(0)/TOTAL_RETURN_GROSS (-1))-1)/100;logic:((TOTAL_RETURN_GROSS / TOTAL_RETURN_GROSS(-1)) - 1) / 100:int;0
T;64;((TOTAL_RETURN_GROSS/previous day TOTAL_RETURN_GROSS)-1)*100;logic:((TOTAL_RETURN_GROSS / TOTAL_RETURN_GROSS(-1D)) - 1) * 100:int;0
T;65;((TOTAL_RETURN_GROSS/TOTAL_RETURN_GROSS (-1D))-1)*100;logic:((TOTAL_RETURN_GROSS/TOTAL_RETURN_GROSS(-1D)) - 1) * 100:int;0
T;66;((TOTAL_RETURN_GROSS_EUR/previous day TOTAL_RETURN_GROSS_EUR)-1)*100;logic:((TOTAL_RETURN_GROSS_EUR / TOTAL_RETURN_GROSS_EUR(-1D)) - 1) * 100:int;0
T;67;((TOTAL_RETURN_GROSS_GBP/previous day TOTAL_RETURN_GROSS_GBP)-1)*100;logic:((TOTAL_RETURN_GROSS_GBP / TOTAL_RETURN_GROSS_GBP(-1D)) - 1) * 100:int;0
T;68;((TOTAL_RETURN_GROSS_JPY/previous day TOTAL_RETURN_GROSS_JPY)-1)*100;logic:((TOTAL_RETURN_GROSS_JPY / TOTAL_RETURN_GROSS_JPY(-1D)) - 1) * 100:int;0
T;69;((TOTAL_RETURN_GROSS_SGD(t)/TOTAL_RETURN_GROSS_SGD(t-1))-1)*100;logic:((TOTAL_RETURN_GROSS_SGD/TOTAL_RETURN_GROSS_SGD(-1D)) - 1) * 100:int;0
T;70;((TOTAL_RETURN_GROSS_USD/previous day TOTAL_RETURN_GROSS_USD)-1)*100;logic:((TOTAL_RETURN_GROSS_USD / TOTAL_RETURN_GROSS_USD(-1D)) - 1) * 100:int;0
T;71;((TRET_CHG_MTD_GROSS*100)-(TRET_CHG_MTD_GROSS (-1D)*100))/(TRET_CHG_MTD_GROSS (-1D)+100)£pv£ For every First Business day of the month, load TRET_CHG_MTD_GROSS;;0
T;72;([([(PCHG_MTD+COUPRET_MTD+PYDNRET_MTD)/100]+1)*CURR_RET_CHG_MTD]-1)*100;;0
T;73;(AMOUNT/SUM OF AMOUNT)*100;logic:(AMOUNT / sum(AMOUNT)) * 100:int;0
T;74;(AMOUNT_LOC*PRICE_DIRTY);passthrough:AMOUNT_LOC * PRICE_DIRTY:int;0
T;75;(AMOUNT_LOC/XRATE_LOC_TO_EUR*COUPON_PAID)/100;passthrough:((AMOUNT_LOC / XRATE_LOC_TO_EUR) * COUPON_PAID) / 100:int;0
T;76;(AMOUNT_MXN*PRICE_DIRTY);passthrough:AMOUNT_MXN * PRICE_DIRTY:int;0
T;77;(AMOUNT_UNADJ*PRICE_DIRTY)/100;passthrough:(AMOUNT_UNADJ_CNY * PRICE_DIRTY) / 100:int;0
T;78;(AMOUNT_UNADJ_CNY*PRICE_DIRTY)/100;passthrough:(AMOUNT_UNADJ_CNY * PRICE_DIRTY) / 100:int;0
T;79;(AMOUNT_UNADJ_LOC*PRICE_DIRTY)/100;passthrough:(AMOUNT_UNADJ_LOC * PRICE_DIRTY) / 100:int;0
T;80;(CASH_PAY*INDEX_RATIO)+Base Market Value_LC;;1
T;81;(CASH_PAY*INDEX_RATIO)+MarketValue;;1
T;82;(cons)PRICE*(mems)SHARES;passthrough:fetchExternalValue(<CONS_UNIV>,<CONSTITUENTS_ID>,'PRICE_USD',DATE) * SHARES:int;0
T;83;(cons)PRICE_USD*(mems)SHARES;passthrough:fetchExternalValue(<CONS_UNIV>,<CONSTITUENTS_ID>,'PRICE_USD',DATE) * SHARES:int;0
T;84;(cons_ND)MCAP_UNADJ_LOC*(mems_ND)AFACTOR;passthrough:fetchExternalValue('CONS_ND',<IDFIELD>,'MCAP_UNADJ_LOC',DATE) * AFACTOR:int;0
T;85;(cons_ND)SHARES_UNADJ*(mems_ND)AFACTOR;passthrough:fetchExternalValue('CONS_ND',<IDFIELD>,'SHARES_UNADJ',DATE) * AFACTOR:int;0
T;86;(cons_PF)MCAP_UNADJ_LOC*(mems_PF)AFACTOR;passthrough:fetchExternalValue('CONS_PF',<IDFIELD>,'MCAP_UNADJ_LOC',DATE) * AFACTOR:int;0
T;87;(cons_PF)SHARES_UNADJ*(mems_PF)AFACTOR;passthrough:fetchExternalValue('CONS_PF',<IDFIELD>,'SHARES_UNADJ',DATE) * AFACTOR:int;0
T;88;(DIVS_TOTAL)*PA_XRATE;passthrough:DIVS_TOTAL * PA_XRATE:int;0
T;89;(MCAP(t)*100)/(PRICE_DIRTY(t-1)*AMOUNT(t));logic:(MCAP * 100) / (PRICE_DIRTY(-1D) * AMOUNT):int;0
T;90;(MCAP/AMOUNT)*100;passthrough:(MCAP / AMOUNT) * 100:int;0
T;91;(MCAP/PRICE_DIRTY)*100;passthrough:(MCAP / PRICE_DIRTY) * 100:int;0
T;92;(MCAP/SUM(MCAP))*100;logic:(MCAP / sum(MCAP)) * 100:int;0
T;93;(MCAP_1100/SUM OF MCAP_1100)*100;logic:(MCAP_1100 / sum(MCAP_1100)) * 100:int;0
T;94;(MCAP_1600/SUM OF MCAP_1600)*100;logic:(MCAP_1600 / sum(MCAP_1600)) * 100:int;0
T;95;(MCAP_1730/SUM OF MCAP_1730)*100;logic:(MCAP_1730 / sum(MCAP_1730)) * 100:int;0
T;96;(MCAP_CASH/∑MCAP_CASH)*100;logic:(MCAP_CASH / sum(MCAP_CASH)) * 100:int;0
T;97;(MCAP_EU/SUM(MCAP_EU))*100;logic:(MCAP_EU / sum(MCAP_EU)) * 100:int;0
T;98;(MCAP_EUR/PRICE_DIRTY)*100;passthrough:(MCAP_EUR / PRICE_DIRTY) * 100:int;0
T;99;(MCAP_FE/SUM(MCAP_FE))*100;;0
T;100;(MCAP_LOC/PRICE_DIRTY)*100;passthrough:(MCAP_LOC / PRICE_DIRTY) * 100:int;0
T;101;(MCAP_UNADJ/AMOUNT_UNADJ)*100;passthrough:(MCAP_UNADJ / AMOUNT_UNADJ) * 100:int;0
T;102;(MCAP_US/SUM(MCAP_US))*100;;0
T;103;(MCAP_USD/PRICE)*1000000;passthrough:(MCAP_USD / PRICE) * 1000000:int;0
T;104;(MCAP_USD/PRICE_DIRTY)*100;passthrough:(MCAP_USD / PRICE_DIRTY) * 100:int;0
T;105;(mems)MCAP*(cons)XRATE_LOC_TO_USD;passthrough:MCAP * XRATE_LOC_TO_USD:int;0
T;106;(NEXT_PRICE*NEXT_ROLL_WEIGHT)+(LEAD_PRICE*LEAD_ROLL_WEIGHT);passthrough:(NEXT_PRICE * NEXT_ROLL_WEIGHT) + (LEAD_PRICE * LEAD_ROLL_WEIGHT):int;0
T;107;(PA_MCAP/SUM of PA_MCAP)*100;logic:(PA_MCAP / sum(PA_MCAP)) * 100:int;0
T;108;(PA_PRICE(-1D)+PA_ACCRUED(-1D))*(AMOUNT);logic:(PA_PRICE(-1D) + PA_ACCRUED(-1D)) * (AMOUNT):int;0
T;109;(PA_PRICE(t)*PA_CSPLIT(t))/((PA_PRICE(t-1)*(PA_CSPLIT(t-1)*PA_SPIN_FACTOR(t-1)))-ZAV(PA_DIVS(t)))-1;logic:(PA_PRICE * PA_CSPLIT) / ((PA_PRICE(-1D) * (PA_CSPLIT(-1D) * PA_SPIN_FACTOR(-1D))) - avail(PA_DIVS,0)) - 1:int;0
T;110;(PA_PRICE(t)*PA_SPLIT_FACTOR(t))/((PA_PRICE(t-1)*(PA_SPLIT_FACTOR(t-1)*PA_SPIN_FACTOR(t-1)))-ZAV(PA_DIVS(t)))-1;logic:(PA_PRICE * PA_SPLIT_FACTOR) / ((PA_PRICE(-1D) * (PA_SPLIT_FACTOR(-1D) * PA_SPIN_FACTOR(-1D))) - avail(PA_DIVS,0)) - 1:int;0
T;111;(PA_PRICE(t)/PA_PRICE(t-1))-1;logic:(PA_PRICE/PA_PRICE(-1D)) - 1:int;0
T;112;(PA_SPOT_RET+PA_ROLL_RET+PA_COLLATERAL_RET)/WEIGHT(t-1);logic:(PA_SPOT_RET + PA_ROLL_RET + PA_COLLATERAL_RET) / WEIGHT(-1D):int;0
T;113;(PRICE(CONS)*AMOUNT(MEMS)/SUM (PRICE*AMOUNT))*100;logic:(PRICE_AMOUNT / sum(PRICE_AMOUNT)) * 100) * 100:int;0
T;114;(PRICE*SHARES)/1000000;passthrough:(PRICE_USD * SHARES) / 1000000:int;0
T;115;(Price[0]-Price[-1])/(Price[-1]+Accrued[-1])*100;logic:(PRICE - PRICE(-1D)) / PRICE(-1D) + ACCRUED(-1D)) * 100:int;0
T;116;(PRICE[-1]+ACCRUED[-1])*(AMOUNT[0]);logic:(PRICE(-1D) + ACCRUED(-1D)) * (AMOUNT):int;0
T;117;(PRICE[-1]+ACCRUED[-1])*(AMOUNT_CAD[0]);logic:(PRICE(-1D) + ACCRUED(-1D)) * (AMOUNT_CAD):int;0
T;118;(PRICE[-1]+ACCRUED[-1])*(AMOUNT_LOC[0]);logic:(PRICE(-1D) + ACCRUED(-1D)) * (AMOUNT_LOC):int;0
T;119;(PRICE[-1]+ACCRUED_REAL[-1])*(AMOUNT[0]);logic:(PRICE(-1D) + ACCRUED_REAL(-1D)) * (AMOUNT):int;0
T;120;(PRICE[-1]+ACCRUED_REAL[-1])*(AMOUNT_CAD[0]);logic:(PRICE(-1D) + ACCRUED_REAL(-1D)) * (AMOUNT_CAD):int;0
T;121;(PRICE[-1]+ACCRUED_REAL[-1])*(AMOUNT_LOC[0]);logic:(PRICE(-1D) + ACCRUED_REAL(-1D)) * (AMOUNT_LOC):int;0
T;122;(PRICE[-1]+ACCRUED_REAL[-1])*(AMOUNT_UNADJ[0]);logic:(PRICE(-1D) + ACCRUED_REAL(-1D)) * (AMOUNT_UNADJ):int;0
T;123;(PRICE[-1]+ACCRUED_REAL[-1])*(AMOUNT_UNADJ_CAD[0]);logic:(PRICE(-1D) + ACCRUED_REAL(-1D)) * (AMOUNT_UNADJ_CAD):int;0
T;124;(PRICE[-1]+ACCRUED_REAL[-1])*(AMOUNT_UNADJ_LOC[0]);logic:(PRICE(-1D) + ACCRUED_REAL(-1D)) * (AMOUNT_UNADJ_LOC):int;0
T;125;(PRICE_DIRTY*AMOUNT);;1
T;126;(PRICE_DIRTY*AMOUNT*XRATE_LOC_TO_EUR)/100;passthrough:(PRICE_DIRTY * AMOUNT * XRATE_LOC_TO_EUR) / 100:int;0
T;127;(PRICE_DIRTY*AMOUNT*XRATE_LOC_TO_USD)/100;passthrough:(PRICE_DIRTY * AMOUNT * XRATE_LOC_TO_USD) / 100:int;0
T;128;(PRICE_DIRTY*AMOUNT_UNADJ)/1,000,000;passthrough:(PRICE_DIRTY * AMOUNT_UNADJ) / 1000000:int;0
T;129;(PRICE_DIRTY/100)*AMOUNT;passthrough:(PRICE_DIRTY / 100) * AMOUNT:int;0
T;130;(PRICE_DIRTY/100)*AMOUNT_EUR;passthrough:(PRICE_DIRTY / 100) * AMOUNT_EUR:int;0
T;131;(PRICE_DIRTY/100)*AMOUNT_INR;passthrough:(PRICE_DIRTY / 100) * AMOUNT_INR:int;0
T;132;(PRICE_DIRTY/100)*AMOUNT_LOC;passthrough:(PRICE_DIRTY / 100) * AMOUNT_LOC:int;0
T;133;(PRICE_LOC*SHARES);passthrough:PRICE_LOC * SHARES:int;0
T;134;(PRICE_LOC*SHARES_UNADJ);passthrough:PRICE_LOC * SHARES_UNADJ:int;0
T;135;(PRICE_LOC*SHARES_UNADJ)/1000000;passthrough:(PRICE_LOC * SHARES_UNADJ) / 1000000:int;0
T;136;(PRICE_USD*SHARES)/1000000;passthrough:(PRICE_USD * SHARES) / 1000000:int;0
T;137;(PRICE+ACCRUED)*AMOUNT;passthrough:(PRICE + ACCRUED) * AMOUNT:int;0
T;138;(RO_CPW*RO_WGT)+(RI_CPW*RI_WGT);passthrough:(RO_CPW * RO_WGT) + (RI_CPW * RI_WGT):int;0
T;139;(RO_PRICE*RO_WGT)+(RI_PRICE*RI_WGT);passthrough:(RO_PRICE * RO_WGT) + (RI_PRICE * RI_WGT):int;0
T;140;(WAV/(PA_PRICE/PRICE_ADJ_FACTOR));passthrough:(WAV / (PA_PRICE / PRICE_ADJ_FACTOR)):int;0
T;141;(WEIGHT/PRICE)*1000000;passthrough:(WEIGHT / PRICE) * 1000000:int;0
T;142;(WEIGHT_BEG/SUM(WEIGHT_BEG))*100;logic:(WEIGHT_BEG / sum(WEIGHT_BEG)) * 100:int;0
T;143;(WEIGHT_GDP*MCAP_USD(IDX LEVEL))/100;passthrough:(WEIGHT_GDP * fetchExternalValue('IDX',INDEX_ID,MCAP_USD,DATE)) / 100:int;0
T;144;*100 £pv£ For 20160718 onward, load from Daily Weight;;1
T;145;*100£pv£ From 20160718 onward, load from Index Weight;;1
T;146;[((ACCRUED-ACCRUED (-EOM))+COUPON_PAID)/PRICE_DIRTY (-EOM)]*100;logic:(((ACCRUED - ACCRUED(EOM)) + COUPON_PAID) / PRICE_DIRTY(EOM)) * 100:int;0
T;147;[(AMOUNT_CHG_MTD*(100-PRICE))/PRICE_DIRTY (-EOM)]*100;logic:((AMOUNT_CHG_MTD * (100 - PRICE)) / PRICE_DIRTY(EOM)) * 100:int;0
T;148;[(PRICE-PRICE (-EOM))/PRICE_DIRTY (-EOM)]*100;logic:((PRICE - PRICE(EOM)) / PRICE_DIRTY(EOM)) * 100:int;0
T;149;[MCAP_EUR (CONS)/SUM OF MCAP_EUR(CONS)]*100;;0
T;150;[MCAP_UNADJ/sum(MCAP_UNADJ)]/WEIGHT;logic:(MCAP_UNADJ / sum(MCAP_UNADJ)) / WEIGHT:int;0
T;151;[TOTAL_RETURN_GROSS (t)/TOTAL_RETURN_GROSS (t-1)]-1;logic:(-1D):int;0
T;152;^=FI_NAME(ISS);passthrough:FetchFromFqlCodeWithSymbol('FI_NAME(ISS)£pv£',IDENTIFIER):int;0
T;153;^=FSYM_ISIN(0,VENDOR_ID);passthrough:FetchFromFqlCodeWithSymbol('avail(FSYM_ISIN(),'')£pv£', PERM_ID):col;0
T;154;^=PROPER_NAME(,,,"SECURITY")£pv£ Use ISIN;;1
T;155;^=WMR_EXCHANGE_RATE(<CURRENCY_ISO>,EUR,<DATE>);passthrough:FetchFromFqlCodeDbl(append('WMR_EXCHANGE_RATE(',CURRENCY_ISO,',EUR,',DATE,')£pv£')):int;0
T;156;{(Sum of PA_SPOT_RET/100)-[idx (TOTAL_RETURN_EXCESS(t)/TOTAL_RETURN_EXCESS(t-1))-1]}*WEIGHT(t-1);logic:sum:int;0
T;157;{idx[(TOTAL_RETURN_GROSS(t)/TOTAL_RETURN_GROSS(t-1))-1]-(Sum of PA_SPOT_RET/100)-(Sum of PA_ROLL_RET/100)}*WEIGHT(t-1);logic:sum:int;0
T;158;1/#18 (Spot FX Rate);passthrough:1 / <SELF>:int;0
T;159;1/#21 (Spot FX Rate);passthrough:1 / <SELF>:int;0
T;160;1/column C;;1
T;161;1/Currency Factor;;1
T;162;1/FX Rate;;1
T;163;1/Mid Rate;;1
T;164;1/NUMBER (IDX)*100;;1
